ID,LATITUDE,LONGTITUDE,ELEVATION,NAME,
ASN00006014,-23.5,114.1,-999.9,COOKERABINGIE,
ASN00006015,-24.4447,114.0781,45,COORALYA,
ASN00006016,-23.3,114.7,-999.9,CORDALIA,
ASN00006017,-25.2786,115.8633,300,DAIRY CREEK,
ASN00006018,-26.0333,113.2167,-999.9,DIRK HARTOG ISLAND,
ASN00006019,-24.8061,114.4322,70,DOORAWARRAH,
ASN00006020,-25.36,114.2292,30,EDAGGEE,
ASN00006021,-24.4508,115.6072,400,EUDAMULLAH,
ASN00006022,-25.0544,115.21,144,GASCOYNE JUNCTION,94410
ASN00006023,-23.8222,113.5256,20,GNARALOO,
ASN00006024,-24.6667,114.35,-999.9,GOOMBARDIE,
ASN00006025,-26.4008,114.1667,15,HAMELIN POOL,
ASN00006026,-26.4275,114.1919,25,HAMELIN STATION,
ASN00006027,-25.0442,115.1331,180,JIMBA JIMBA,
ASN00006028,-26.4,114.4667,-999.9,THE OVERLANDER,
ASN00006029,-23.6361,115.2461,210,LYNDON,
ASN00006030,-24.6314,115.3383,175,LYONS RIVER,
ASN00006031,-23.915,115.6183,300,MANGAROON,
ASN00006032,-24.4733,114.5553,90,MARDATHUNA,
ASN00006033,-23.4789,115.5481,250,MAROONAH,
ASN00006034,-25.3656,114.3594,40,MARRON,
ASN00006035,-26.7025,114.6183,180,MEADOW STATION,
ASN00006036,-25.6644,114.6267,60,MEEDO,
ASN00006037,-24.3142,115.1892,300,MERLINLEIGH,
ASN00006038,-23.3817,114.4375,75,MIA MIA,
ASN00006039,-23.8497,113.9714,3,MINILYA,
ASN00006040,-24.0306,115.6967,300,MINNIE CREEK,
ASN00006041,-24.0633,115.205,300,MOOGOOREE,
ASN00006042,-24.4117,115.3958,370,MOUNT SANDIMAN,
ASN00006043,-27.37,115.6517,300,NEW FOREST,
ASN00006044,-25.9261,113.5319,9,DENHAM,94402
ASN00006045,-26.6969,113.7158,50,TAMALA,
ASN00006046,-23.1747,115.1194,120,TOWERA,
ASN00006047,-25.405,115.2267,200,TOWRANA,
ASN00006048,-27.3853,115.9664,260,TWIN PEAKS,
ASN00006049,-27.1,115.5,-999.9,WAIL,
ASN00006050,-23.7647,114.5539,90,WANDAGEE,
ASN00006051,-27.9864,115.6306,300,WANDINA,
ASN00006052,-23.8608,115.1475,190,WILLIAMBURY,
ASN00006053,-25.3017,115.1161,170,WINDERIE,
ASN00006054,-26.0511,114.7542,180,WOODLEIGH,
